Code,TOTAL_SHARES,Industry
sz002205,116152018.0,建筑材料
sz002206,1223028645.0,化工
sz002207,239177378.0,采掘
sz002208,320100000.0,房地产
sz002209,195244050.0,机械设备
sz002210,1652880386.0,交通运输
sz002211,432475779.0,化工
sz002212,1146902165.0,电气设备
sz002213,206000000.0,汽车
sz002214,458666666.0,电子
sz002215,914076384.0,化工
sz002216,815224232.0,食品饮料
sz002217,3128310676.0,电子
sz002218,1236342104.0,电气设备
sz002219,1865236430.0,医药生物
sz002220,547485824.0,农林牧渔
sz002221,1649782824.0,化工
sz002222,427500000.0,电子
sz002223,1002476929.0,医药生物
sz002224,658065698.0,化工
sz002225,890324298.0,建筑材料
sz002226,911278992.0,化工
sz002227,220597400.0,电气设备
sz002228,1042972330.0,轻工制造
sz002229,502752213.0,轻工制造
sz002230,1388693628.0,计算机
sz002231,356800000.0,通信
sz002232,408548455.0,计算机
sz002233,894655969.0,建筑材料
sz002234,302046632.0,农林牧渔
sz002235,415976540.0,轻工制造
sz002236,2898756130.0,电子
sz002237,910400000.0,有色金属
sz002238,617353200.0,传媒
sz002239,3131359417.0,汽车
sz002240,490704000.0,轻工制造
sz002241,3245103948.0,电子
sz002242,767523000.0,家用电器
sz002243,364948956.0,轻工制造
sz002244,3111443890.0,房地产
sz002245,987282080.0,交通运输
sz002246,413686536.0,化工
sz002247,851611049.0,传媒
sz002248,307495600.0,机械设备
sz002249,2369557674.0,电气设备
sz002250,925902056.0,化工
sz002251,863903951.0,商业贸易
sz002252,4970238896.0,医药生物
sz002253,225626095.0,计算机
sz002254,610833600.0,化工
sz002255,620634524.0,电气设备
sz002256,1882411872.0,化工
sz002258,524373030.0,化工
sz002259,752328267.0,轻工制造
sz002260,265200000.0,家用电器
sz002261,1111149436.0,传媒
sz002262,1009147011.0,医药生物
sz002263,1878360100.0,化工
sz002264,684563880.0,商业贸易
sz002265,318566172.0,汽车
sz002266,1978719849.0,电气设备
sz002267,1112075445.0,公用事业
sz002268,838336028.0,计算机
sz002269,2512500000.0,纺织服装
sz002270,506159420.0,电气设备
sz002271,881851515.0,建筑材料
sz002272,419700000.0,机械设备
sz002273,662918124.0,电子
sz002274,634909764.0,化工
sz002275,590200000.0,医药生物
sz002276,1035489098.0,电气设备
sz002277,1416605200.0,商业贸易
sz002278,363909648.0,机械设备
sz002279,710724961.0,计算机
sz002280,2177149675.0,计算机
sz002281,628924752.0,通信
sz002282,338130000.0,机械设备
sz002283,1124861978.0,汽车
sz002284,737556000.0,汽车
sz002285,2044969122.0,房地产
sz002286,369256000.0,农林牧渔
sz002287,406000000.0,医药生物
sz002288,931643744.0,电子
sz002289,280253733.0,电子
sz002290,242712330.0,家用电器
sz002291,398921895.0,纺织服装
sz002292,1306944319.0,传媒
sz002293,704905500.0,纺织服装
sz002294,1046016000.0,医药生物
